"Exp"	"Dose"	"Number"	"Strain"	"Line"	"CC.Line"	"Endpoint"	"Survival.Days"	"Outcome"	"sex"	"Sex"	"Age"	"Birthday"	"Batch"	"B6"	"S.129"
"173"	10	"754"	29	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"174"	10	"754"	30	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"175"	10	"754"	31	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"176"	10	"754"	32	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"177"	10	"754"	33	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"178"	10	"754"	34	"129S2/SvPas(Pasteur)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Femelle"	0	10	"3/16/15"	"H"	7	14
"179"	10	"754"	35	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	"5"	5	1	"Femelle"	0	11	"6/3/15"	"H"	7	14
"180"	10	"754"	36	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	"7"	7	1	"Femelle"	0	11	"6/3/15"	"H"	7	14
"181"	10	"754"	37	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	"7"	7	1	"Femelle"	0	11	"6/3/15"	"H"	7	14
"182"	10	"754"	38	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	"8"	8	1	"Femelle"	0	11	"6/3/15"	"H"	7	14
"183"	10	"754"	39	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	"8"	8	1	"Femelle"	0	11	"6/3/15"	"H"	7	14
"184"	15	"1364"	1	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	"17"	14	0	"Male"	1	9	"17/06/15"	"I"	6	14
"185"	15	"1364"	2	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	"18"	14	0	"Femelle"	0	8	"22/07/15"	"I"	6	14
"186"	15	"1364"	3	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	"-"	14	0	"Femelle"	0	8	"22/07/15"	"I"	6	14
"187"	15	"1364"	4	"CC005/TauUnc(IL-16211)"	"CC005"	"IL-16211"	"24"	14	0	"Male"	1	10	"8/7/15"	"I"	6	14
"188"	15	"1364"	5	"CC055/TauUnc(IL-16680)"	"CC055"	"IL-16680"	"-"	14	0	"Male"	1	10	"8/7/15"	"I"	6	14
"189"	15	"1364"	9	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"Male"	1	10	"10/7/15"	"I"	6	14
"190"	16	"634"	21	"CC001/Unc(OR13140)"	"CC001"	"OR13140"	"-"	14	0	"Male"	1	8	"1/9/15"	"J"	12	14
"191"	16	"634"	22	"CC001/Unc(OR13140)"	"CC001"	"OR13140"	"-"	14	0	"Femelle"	0	8	"1/9/15"	"J"	12	14
"192"	16	"634"	23	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Male"	1	9	"27/08/15"	"J"	12	14
"193"	16	"634"	24	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Male"	1	9	"27/08/15"	"J"	12	14
"194"	16	"634"	25	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"8"	8	1	"Male"	1	11	"8/8/15"	"J"	12	14
"195"	16	"634"	26	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"14"	14	1	"Male"	1	11	"8/8/15"	"J"	12	14
"196"	16	"634"	27	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"14"	14	1	"Male"	1	11	"8/8/15"	"J"	12	14
"197"	17	"997"	12	"CC003/Unc"	"CC003"	"OR13067"	"12"	12	1	"Male"	1	14	"31/07/2015"	"K"	8.33333333333333	14
"198"	17	"997"	13	"CC070/TauUnc"	"CC070"	"IL-16034"	"-"	14	0	"Male"	1	11	"24/08/2015"	"K"	8.33333333333333	14
"199"	17	"997"	14	"CC071/TauUnc"	"CC071"	"IL-16785"	"10"	10	1	"Male"	1	10	"1/9/15"	"K"	8.33333333333333	14
"200"	17	"997"	15	"CC072/TauUnc"	"CC072"	"IL-16521"	"-"	14	0	"Male"	1	9	"8/9/15"	"K"	8.33333333333333	14
"201"	17	"997"	16	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	"-"	14	0	"Male"	1	8	"15/09/15"	"K"	8.33333333333333	14
"202"	17	"997"	17	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"Femelle"	0	10	"1/9/15"	"K"	8.33333333333333	14
"203"	17	"997"	18	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"9.5"	9.5	1	"Femelle"	0	10	"1/9/15"	"K"	8.33333333333333	14
"204"	17	"997"	19	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"9.5"	9.5	1	"Femelle"	0	10	"1/9/15"	"K"	8.33333333333333	14
"205"	20	"1060"	10	"CC055/TauUnc"	"CC055"	"IL-16680"	"-"	14	0	"Male"	1	13	"17/11/2015"	"L"	14	14
"206"	20	"1060"	11	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"-"	14	0	"Male"	1	8	"24/12/2015"	"L"	14	14
"207"	20	"1060"	12	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"-"	14	0	"Male"	1	13	"11/11/15"	"L"	14	14
"208"	22	"1084"	9	"CC055/TauUnc"	"CC055"	"IL-16680"	"-"	14	0	"M"	1	8	"4/2/16"	"M"	9	14
"209"	22	"1084"	10	"CC055/TauUnc"	"CC055"	"IL-16680"	"-"	14	0	"M"	1	8	"4/2/16"	"M"	9	14
"210"	22	"1084"	11	"CC055/TauUnc"	"CC055"	"IL-16680"	"-"	14	0	"F"	0	8	"4/2/16"	"M"	9	14
"211"	22	"1084"	12	"129S2/SvPasCrl(CR)"	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"-"	14	0	"M"	1	8	"26/01/16"	"M"	9	14
"212"	22	"1084"	13	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	"9"	9	1	"M"	1	8	"26/01/16"	"M"	9	14
"213"	22	"1084"	14	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	"9"	9	1	"M"	1	8	"26/01/16"	"M"	9	14
"214"	24	"1010"	1	"CC001/Unc"	"CC001"	"OR13140"	"24"	14	0	"M"	1	8	"19/02/2016"	"N"	9	14
"215"	24	"1010"	2	"CC001/Unc"	"CC001"	"OR13140"	"-"	14	0	"M"	1	8	"19/02/2016"	"N"	9	14
"216"	24	"1010"	3	"CC001/Unc"	"CC001"	"OR13140"	"-"	14	0	"F"	0	7	"25/02/2016"	"N"	9	14
"217"	24	"1010"	4	"CC004/TauUnc"	"CC004"	"IL-16188"	"15"	14	1	"M"	1	13	"14/01/2016"	"N"	9	14
"218"	24	"1010"	5	"CC004/TauUnc"	"CC004"	"IL-16188"	"20"	14	0	"M"	1	13	"14/01/2016"	"N"	9	14
"219"	24	"1010"	6	"CC004/TauUnc"	"CC004"	"IL-16188"	"-"	14	0	"F"	0	7	"24/02/2016"	"N"	9	14
"220"	24	"1010"	11	"C57BL/6J(CR)"	"C57BL/6J"	"C57BL/6J"	"9"	9	1	"M"	1	9	"15/02/16"	"N"	9	14
"221"	24	"1010"	12	"129S2/SvPasCrl(CR)"	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"-"	14	0	"M"	1	9	"15/02/16"	"N"	9	14
"222"	28	"972"	1	"CC005/TauUnc"	"CC005"	"IL-16211"	"-"	14	0	"F"	0	61	"27/03/2015"	"O"	6	14
"223"	28	"972"	2	"CC005/TauUnc"	"CC005"	"IL-16211"	"-"	14	0	"M"	1	69	"22/01/15"	"O"	6	14
"224"	28	"972"	3	"CC009/Unc"	"CC009"	"OR5489"	"10"	10	1	"F"	0	13	"29/02/2016"	"O"	6	14
"225"	28	"972"	4	"CC009/Unc"	"CC009"	"OR5489"	"12"	12	1	"F"	0	13	"29/02/2016"	"O"	6	14
"226"	28	"972"	5	"CC027/Unc"	"CC027"	"AU8027"	"13"	13	1	"F"	0	8	"5/4/16"	"O"	6	14
"227"	28	"972"	6	"CC035/Unc"	"CC035"	"OR5035"	"-"	14	0	"M"	1	6	"20/04/2016"	"O"	6	14
"228"	28	"972"	7	"CC049/TauUnc"	"CC049"	"IL16296"	"6"	6	1	"M"	1	62	"21/03/2015"	"O"	6	14
"229"	28	"972"	8	"CC061/GeniUnc"	"CC061"	"AU8048"	"-"	14	0	"F"	0	6	"20/04/2016"	"O"	6	14
"230"	28	"972"	9	"CC065/Unc"	"CC065"	"OR5119"	"9"	9	1	"F"	0	60	"6/4/15"	"O"	6	14
"231"	28	"972"	10	"CC071/TauUnc"	"CC071"	"IL-16785"	"-"	14	0	"M"	1	10	"23/03/2016"	"O"	6	14
"232"	28	"972"	11	"CC071/TauUnc"	"CC071"	"IL-16785"	"-"	14	0	"M"	1	10	"23/03/2016"	"O"	6	14
"233"	28	"972"	12	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"6"	6	1	"F"	0	8	"6/4/16"	"O"	6	14
"234"	28	"972"	13	"129S2/SvPasCrl(CR)"	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"-"	14	0	"M"	1	7	"14/04/16"	"O"	6	14
"235"	30	"1339"	1	" CC017/Unc"	"CC017"	"OR3032"	"10"	10	1	"M"	1	10	"11/5/16"	"P"	8	14
"236"	30	"1339"	2	" CC027/Unc"	"CC027"	"AU8027"	"-"	14	0	"M"	1	11	" 04/05/2016"	"P"	8	14
"237"	30	"1339"	3	" CC027/Unc"	"CC027"	"AU8027"	"-"	14	0	"M"	1	11	" 04/05/2016"	"P"	8	14
"238"	30	"1339"	4	" CC061/GeniUnc"	"CC061"	"AU8048"	"-"	14	0	"M"	1	11	" 04/05/2016"	"P"	8	14
"239"	30	"1339"	5	" CC061/GeniUnc"	"CC061"	"AU8048"	"-"	14	0	"M"	1	11	" 04/05/2016"	"P"	8	14
"240"	30	"1339"	6	" CC061/GeniUnc"	"CC061"	"AU8048"	"-"	14	0	"F"	0	11	" 04/05/2016"	"P"	8	14
"241"	30	"1339"	7	" CC061/GeniUnc"	"CC061"	"AU8048"	"-"	14	0	"F"	0	11	" 04/05/2016"	"P"	8	14
"242"	30	"1339"	8	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"9"	9	1	" M "	1	8	"2/6/16"	"P"	8	14
"243"	30	"1339"	9	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	"7"	7	1	" M "	1	8	"2/6/16"	"P"	8	14
"244"	30	"1339"	10	"129S2/SvPasCrl (CR)"	"129S2/SvPasCrl"	"129S2/SvPasCrl"	"-"	14	0	"M"	1	8	"2/6/16"	"P"	8	14
